date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-04-18,69.6804,67.4029,-2.2775,2.2775,64.4583,-5.2221,5.2221,62.8735,-6.8069,6.8069,62.7583,-6.9221,6.9221
2025-04-19,66.8333,69.6804,2.8471,2.8471,78.375,11.5417,11.5417,73.7609,6.9275,6.9275,65.3222,-1.5111,1.5111
2025-04-20,49.4579,66.8333,17.3754,17.3754,65.5554,16.0975,16.0975,67.2598,17.8019,17.8019,58.8389,9.381,9.381
2025-04-21,64.0833,49.4579,-14.6254,14.6254,84.7225,20.6392,20.6392,52.7598,-11.3236,11.3236,54.1404,-9.9429,9.9429
2025-04-22,69.9304,64.0833,-5.8471,5.8471,100.3054,30.375,30.375,68.0593,-1.8711,1.8711,53.5556,-16.3748,16.3748
2025-04-23,66.0138,69.9304,3.9167,3.9167,113.3333,47.3196,47.3196,69.2442,3.2305,3.2305,56.1574,-9.8563,9.8563
2025-04-24,56.5833,66.0138,9.4304,9.4304,67.4029,10.8196,10.8196,65.9862,9.4029,9.4029,52.4806,-4.1027,4.1027
2025-04-25,38.625,56.5833,17.9583,17.9583,69.6804,31.0554,31.0554,58.8764,20.2514,20.2514,45.3631,6.7381,6.7381
2025-04-26,51.9863,38.625,-13.3613,13.3613,66.8333,14.8471,14.8471,44.4281,-7.5581,7.5581,39.818,-12.1682,12.1682
2025-04-27,48.875,51.9863,3.1113,3.1113,49.4579,0.5829,0.5829,58.1438,9.2688,9.2688,47.7608,-1.1142,1.1142
2025-04-28,41.2362,48.875,7.6388,7.6388,64.0833,22.8471,22.8471,51.6049,10.3686,10.3686,45.725,4.4888,4.4888
2025-04-29,94.0279,41.2362,-52.7917,52.7917,69.9304,-24.0975,24.0975,46.3761,-47.6518,47.6518,43.3133,-50.7147,50.7147
2025-04-30,57.1388,94.0279,36.8892,36.8892,66.0138,8.875,8.875,93.1356,35.9969,35.9969,74.3684,17.2296,17.2296
2025-05-01,47.1068,57.1388,10.0319,10.0319,56.5833,9.4765,9.4765,51.8965,4.7897,4.7897,48.4061,1.2993,1.2993
